date,home_team,away_team,home_score,away_score,round,"home_winner
",home_loss,home_draw
2019-10-10,AVA,VAS,0,0,24,0,0,1
2019-10-10,FLA,ATLMG,3,1,24,1,0,0
2019-10-10,COR,ATLPR,2,2,24,0,0,1
2019-10-12,PAL,BOT,1,0,25,1,0,0
2019-10-12,FLU,BAH,2,0,25,1,0,0
2019-10-12,GOI,CSA,1,0,25,1,0,0
2019-10-13,ATLPR,FLA,0,2,25,0,1,0
2019-10-13,SAO,COR,1,0,25,1,0,0
2019-10-13,INT,SAN,0,0,25,0,0,1
2019-10-13,CHA,CRU,1,1,25,0,0,1
2019-10-13,ATLMG,GRE,1,4,25,0,1,0
2019-10-13,CEA,AVA,1,0,25,1,0,0
2019-10-13,VAS,FOR,1,0,25,1,0,0
2019-10-16,FOR,FLA,1,2,26,0,1,0
2019-10-16,VAS,BOT,2,1,26,1,0,0
2019-10-16,GOI,COR,2,2,26,0,0,1
2019-10-16,GRE,BAH,0,1,26,0,1,0
2019-10-16,CRU,SAO,1,0,26,1,0,0
2019-10-16,CSA,ATLMG,2,2,26,0,0,1
2019-10-16,PAL,CHA,1,0,26,1,0,0
2019-10-17,AVA,INT,0,2,26,0,1,0
2019-10-17,FLU,ATLPR,1,2,26,0,1,0
2019-10-17,SAN,CEA,2,1,26,1,0,0
2019-10-19,COR,CRU,1,2,27,0,1,0
2019-10-19,FOR,GRE,2,1,27,1,0,0
2019-10-20,FLA,FLU,2,0,27,1,0,0
2019-10-20,INT,VAS,0,1,27,0,1,0
2019-10-20,ATLPR,PAL,1,1,27,0,0,1
2019-10-20,ATLMG,SAN,2,0,27,1,0,0
2019-10-20,CHA,GOI,2,2,27,0,0,1
2019-10-20,SAO,AVA,1,0,27,1,0,0
2019-10-21,BOT,CSA,2,1,27,1,0,0
2019-10-21,BAH,CEA,1,2,27,0,1,0
2019-10-26,CEA,VAS,1,1,28,0,0,1
2019-10-26,COR,SAN,0,0,28,0,0,1
2019-10-26,BAH,INT,2,3,28,0,1,0
2019-10-26,FLU,CHA,1,1,28,0,0,1
2019-10-26,CRU,FOR,1,1,28,0,0,1
2019-10-27,GRE,BOT,3,0,28,1,0,0
2019-10-27,AVA,PAL,1,2,28,0,1,0
2019-10-27,SAO,ATLMG,2,0,28,1,0,0
2019-10-27,ATLPR,GOI,4,1,28,1,0,0
2019-10-27,FLA,CSA,1,0,28,1,0,0
2019-10-30,CSA,COR,2,1,29,1,0,0
2019-10-30,CEA,FLU,2,0,29,1,0,0
2019-10-30,PAL,SAO,3,0,29,1,0,0
2019-10-30,VAS,GRE,1,3,29,0,1,0
2019-10-30,ATLMG,CHA,0,2,29,0,1,0
2019-10-30,AVA,FOR,1,3,29,0,1,0
2019-10-31,GOI,FLA,2,2,29,0,0,1
2019-10-31,SAN,BAH,1,0,29,1,0,0
2019-10-31,BOT,CRU,0,2,29,0,1,0
2019-10-31,INT,ATLPR,1,1,29,0,0,1
2019-11-02,FLU,VAS,0,0,30,0,0,1
2019-11-02,CHA,SAO,0,3,30,0,1,0
2019-11-02,FOR,ATLMG,2,2,30,0,0,1
2019-11-02,PAL,CEA,1,0,30,1,0,0
2019-11-03,SAN,BOT,4,1,30,1,0,0
2019-11-03,FLA,COR,4,1,30,1,0,0
2019-11-03,CRU,BAH,1,1,30,0,0,1
2019-11-03,GRE,INT,2,0,30,1,0,0
2019-11-03,GOI,AVA,2,0,30,1,0,0
2019-11-03,ATLPR,CSA,1,0,30,1,0,0
2019-11-06,VAS,PAL,1,2,31,0,1,0
2019-11-06,AVA,SAN,1,2,31,0,1,0
2019-11-06,ATLPR,CRU,0,0,31,0,0,1
2019-11-06,ATLMG,GOI,2,0,31,1,0,0
2019-11-06,BAH,CHA,1,1,31,0,0,1
2019-11-06,COR,FOR,3,2,31,1,0,0
2019-11-07,BOT,FLA,0,1,31,0,1,0
2019-11-07,SAO,FLU,0,2,31,0,1,0
2019-11-07,CEA,INT,2,0,31,1,0,0
2019-11-07,GRE,CSA,2,1,31,1,0,0
